Date,AMZN
2023-09-05,137.27
2023-09-06,135.36
2023-09-07,137.85
2023-09-08,138.23
2023-09-11,143.1
2023-09-12,141.23
2023-09-13,144.85
2023-09-14,144.72
2023-09-15,140.39
2023-09-18,139.98
2023-09-19,137.63
2023-09-20,135.29
2023-09-21,129.33
2023-09-22,129.12
2023-09-25,131.27
2023-09-26,125.98
2023-09-27,125.98
2023-09-28,125.98
2023-09-29,127.12
2023-10-02,129.46
2023-10-03,124.72
2023-10-04,127.0
2023-10-05,125.96
2023-10-06,127.96
2023-10-09,128.26
2023-10-10,129.48
2023-10-11,131.83
2023-10-12,132.33
2023-10-13,129.79
2023-10-16,132.55
2023-10-17,131.47
2023-10-18,128.13
2023-10-19,128.4
2023-10-20,125.17
2023-10-23,126.56
2023-10-24,128.56
2023-10-25,121.39
2023-10-26,119.57
2023-10-27,127.74
2023-10-30,132.71
2023-10-31,133.09
2023-11-01,137.0
2023-11-02,138.07
2023-11-03,138.6
2023-11-06,139.74
2023-11-07,142.71
2023-11-08,142.08
2023-11-09,140.6
2023-11-10,143.56
2023-11-13,142.59
2023-11-14,145.8
2023-11-15,143.2
2023-11-16,142.83
2023-11-17,145.18
2023-11-20,146.13
2023-11-21,143.9
2023-11-22,146.71
2023-11-24,146.74
2023-11-27,147.73
2023-11-28,147.03
2023-11-29,146.32
2023-11-30,146.09
2023-12-01,147.03
2023-12-04,144.84
2023-12-05,146.88
2023-12-06,144.52
2023-12-07,146.88
2023-12-08,147.42
2023-12-11,145.89
2023-12-12,147.48
2023-12-13,148.84
2023-12-14,147.42
2023-12-15,149.97
2023-12-18,154.07
2023-12-19,153.79
2023-12-20,152.12
2023-12-21,153.84
2023-12-22,153.42
2023-12-26,153.41
2023-12-27,153.34
2023-12-28,153.38
2023-12-29,151.94
2024-01-02,149.93
2024-01-03,148.47
2024-01-04,144.57
2024-01-05,145.24
2024-01-08,149.1
2024-01-09,151.37
2024-01-10,153.73
2024-01-11,155.18
2024-01-12,154.62
2024-01-16,153.16
2024-01-17,151.71
2024-01-18,153.5
2024-01-19,155.34
2024-01-22,154.78
2024-01-23,156.02
2024-01-24,156.87
2024-01-25,157.75
2024-01-26,159.12
2024-01-29,161.26
2024-01-30,159.0
2024-01-31,155.2
2024-02-01,159.28
2024-02-02,171.81
2024-02-05,170.31
2024-02-06,169.15
2024-02-07,170.53
2024-02-08,169.84
2024-02-09,174.45
2024-02-12,172.34
2024-02-13,168.64
2024-02-14,170.98
2024-02-15,169.8
2024-02-16,169.51
2024-02-20,167.08
2024-02-21,168.59
2024-02-22,174.58
2024-02-23,174.99
2024-02-26,174.73
2024-02-27,173.54
2024-02-28,173.16
2024-02-29,176.76
2024-03-01,178.22
2024-03-04,177.58
2024-03-05,174.12
2024-03-06,173.51
2024-03-07,176.82
2024-03-08,175.35
2024-03-11,171.96
2024-03-12,175.39
2024-03-13,176.56
2024-03-14,178.75
2024-03-15,174.42
2024-03-18,174.48
2024-03-19,175.9
2024-03-20,178.15
2024-03-21,178.15
2024-03-22,178.87
2024-03-25,179.71
2024-03-26,178.3
2024-03-27,179.83
2024-03-28,180.38
2024-04-01,180.97
2024-04-02,180.69
2024-04-03,182.41
2024-04-04,180.0
2024-04-05,185.07
2024-04-08,185.19
2024-04-09,185.67
2024-04-10,185.95
2024-04-11,189.05
2024-04-12,186.13
2024-04-15,183.62
2024-04-16,183.32
2024-04-17,181.28
2024-04-18,179.22
2024-04-19,174.63
2024-04-22,177.23
2024-04-23,179.54
2024-04-24,176.59
2024-04-25,173.67
2024-04-26,179.62
2024-04-29,180.96
2024-04-30,175.0
2024-05-01,179.0
2024-05-02,184.72
2024-05-03,186.21
2024-05-06,188.7
2024-05-07,188.76
2024-05-08,188.0
2024-05-09,189.5
2024-05-10,187.48
2024-05-13,186.57
2024-05-14,187.07
2024-05-15,185.99
2024-05-16,183.63
2024-05-17,184.7
2024-05-20,183.54
2024-05-21,183.15
2024-05-22,183.13
2024-05-23,181.05
2024-05-24,180.75
2024-05-28,182.15
2024-05-29,182.02
2024-05-30,179.32
2024-05-31,176.44
2024-06-03,178.34
2024-06-04,179.34
2024-06-05,181.28
2024-06-06,185.0
2024-06-07,184.3
2024-06-10,187.06
2024-06-11,187.23
2024-06-12,186.89
2024-06-13,183.83
2024-06-14,183.66
2024-06-17,184.06
2024-06-18,182.81
2024-06-20,186.1
2024-06-21,189.08
2024-06-24,185.57
2024-06-25,186.34
2024-06-26,193.61
2024-06-27,197.85
2024-06-28,193.25
2024-07-01,197.2
2024-07-02,200.0
2024-07-03,197.59
2024-07-05,200.0
2024-07-08,199.29
2024-07-09,199.34
2024-07-10,199.79
2024-07-11,195.05
2024-07-12,194.49
2024-07-15,192.72
2024-07-16,193.02
2024-07-17,187.93
2024-07-18,183.75
2024-07-19,183.13
2024-07-22,182.55
2024-07-23,186.41
2024-07-24,180.83
2024-07-25,179.85
2024-07-26,182.5
2024-07-29,183.2
2024-07-30,181.71
2024-07-31,186.98
2024-08-01,184.07
2024-08-02,167.9
2024-08-05,161.02
2024-08-06,161.93
2024-08-07,162.77
2024-08-08,165.8
2024-08-09,166.94
2024-08-12,166.8
2024-08-13,170.23
2024-08-14,170.1
2024-08-15,177.59
2024-08-16,177.06
2024-08-19,178.22
2024-08-20,178.88
2024-08-21,180.11
2024-08-22,176.13
2024-08-23,177.04
2024-08-26,175.5
2024-08-27,173.12
2024-08-28,170.8
2024-08-29,172.12
2024-08-30,178.5
2024-09-03,176.25
