Date,CSCO
2023-09-05,55.48
2023-09-06,55.38
2023-09-07,55.02
2023-09-08,54.91
2023-09-11,55.07
2023-09-12,54.64
2023-09-13,54.53
2023-09-14,54.62
2023-09-15,54.3
2023-09-18,54.36
2023-09-19,54.1
2023-09-20,53.77
2023-09-21,51.68
2023-09-22,51.9
2023-09-25,51.82
2023-09-26,51.07
2023-09-27,51.54
2023-09-28,52.2
2023-09-29,52.09
2023-10-02,52.7
2023-10-03,52.36
2023-10-04,52.16
2023-10-05,51.79
2023-10-06,52.16
2023-10-09,52.62
2023-10-10,52.57
2023-10-11,52.37
2023-10-12,52.55
2023-10-13,52.47
2023-10-16,52.85
2023-10-17,52.64
2023-10-18,52.47
2023-10-19,52.03
2023-10-20,51.65
2023-10-23,50.94
2023-10-24,51.73
2023-10-25,51.14
2023-10-26,50.13
2023-10-27,50.32
2023-10-30,50.33
2023-10-31,50.87
2023-11-01,50.93
2023-11-02,51.48
2023-11-03,51.73
2023-11-06,52.0
2023-11-07,51.85
2023-11-08,51.72
2023-11-09,50.75
2023-11-10,51.32
2023-11-13,50.97
2023-11-14,51.89
2023-11-15,51.99
2023-11-16,46.88
2023-11-17,46.61
2023-11-20,47.11
2023-11-21,46.65
2023-11-22,46.92
2023-11-24,47.19
2023-11-27,46.77
2023-11-28,46.7
2023-11-29,46.89
2023-11-30,47.21
2023-12-01,47.3
2023-12-04,46.89
2023-12-05,46.77
2023-12-06,46.55
2023-12-07,47.1
2023-12-08,47.21
2023-12-11,48.2
2023-12-12,48.14
2023-12-13,48.49
2023-12-14,48.25
2023-12-15,48.67
2023-12-18,49.03
2023-12-19,48.97
2023-12-20,48.6
2023-12-21,48.5
2023-12-22,48.88
2023-12-26,49.07
2023-12-27,49.22
2023-12-28,49.26
2023-12-29,49.3
2024-01-02,49.29
2024-01-03,49.68
2024-01-04,49.25
2024-01-05,49.26
2024-01-08,49.63
2024-01-09,49.09
2024-01-10,49.41
2024-01-11,49.61
2024-01-12,49.51
2024-01-16,49.75
2024-01-17,49.47
2024-01-18,49.91
2024-01-19,50.42
2024-01-22,50.72
2024-01-23,50.9
2024-01-24,50.46
2024-01-25,51.47
2024-01-26,51.28
2024-01-29,51.43
2024-01-30,51.38
2024-01-31,49.35
2024-02-01,49.35
2024-02-02,49.35
2024-02-05,48.69
2024-02-06,49.15
2024-02-07,48.95
2024-02-08,49.12
2024-02-09,49.3
2024-02-12,49.16
2024-02-13,48.82
2024-02-14,49.45
2024-02-15,48.25
2024-02-16,47.64
2024-02-20,47.48
2024-02-21,47.68
2024-02-22,47.77
2024-02-23,48.05
2024-02-26,47.6
2024-02-27,47.51
2024-02-28,47.27
2024-02-29,47.57
2024-03-01,47.6
2024-03-04,48.32
2024-03-05,48.14
2024-03-06,48.36
2024-03-07,48.09
2024-03-08,48.68
2024-03-11,49.39
2024-03-12,49.24
2024-03-13,49.28
2024-03-14,48.97
2024-03-15,48.12
2024-03-18,48.46
2024-03-19,48.33
2024-03-20,48.73
2024-03-21,49.06
2024-03-22,48.96
2024-03-25,48.86
2024-03-26,48.73
2024-03-27,48.95
2024-03-28,49.09
2024-04-01,49.21
2024-04-02,48.54
2024-04-03,48.33
2024-04-04,47.7
2024-04-05,48.14
2024-04-08,47.83
2024-04-09,49.59
2024-04-10,48.79
2024-04-11,49.11
2024-04-12,48.08
2024-04-15,47.83
2024-04-16,47.51
2024-04-17,47.38
2024-04-18,47.7
2024-04-19,47.91
2024-04-22,47.73
2024-04-23,47.91
2024-04-24,47.94
2024-04-25,47.69
2024-04-26,47.45
2024-04-29,47.37
2024-04-30,46.58
2024-05-01,46.44
2024-05-02,46.39
2024-05-03,46.72
2024-05-06,46.71
2024-05-07,46.88
2024-05-08,47.59
2024-05-09,47.38
2024-05-10,47.65
2024-05-13,48.27
2024-05-14,48.53
2024-05-15,49.25
2024-05-16,47.93
2024-05-17,47.76
2024-05-20,46.73
2024-05-21,46.54
2024-05-22,47.03
2024-05-23,46.2
2024-05-24,46.03
2024-05-28,45.89
2024-05-29,45.69
2024-05-30,45.73
2024-05-31,46.11
2024-06-03,46.25
2024-06-04,47.02
2024-06-05,45.63
2024-06-06,45.84
2024-06-07,45.45
2024-06-10,45.46
2024-06-11,45.38
2024-06-12,45.23
2024-06-13,45.13
2024-06-14,45.29
2024-06-17,45.3
2024-06-18,45.58
2024-06-20,46.32
2024-06-21,46.89
2024-06-24,46.88
2024-06-25,46.98
2024-06-26,46.46
2024-06-27,47.05
2024-06-28,47.11
2024-07-01,47.12
2024-07-02,46.88
2024-07-03,46.69
2024-07-05,46.65
2024-07-08,46.06
2024-07-09,45.8
2024-07-10,46.27
2024-07-11,46.76
2024-07-12,47.38
2024-07-15,47.4
2024-07-16,47.42
2024-07-17,48.52
2024-07-18,48.04
2024-07-19,47.32
2024-07-22,46.82
2024-07-23,46.36
2024-07-24,46.85
2024-07-25,47.24
2024-07-26,47.88
2024-07-29,47.99
2024-07-30,48.14
2024-07-31,48.45
2024-08-01,47.39
2024-08-02,46.66
2024-08-05,44.74
2024-08-06,45.16
2024-08-07,45.12
2024-08-08,45.83
2024-08-09,45.47
2024-08-12,44.86
2024-08-13,45.37
2024-08-14,45.44
2024-08-15,48.53
2024-08-16,49.46
2024-08-19,49.98
2024-08-20,50.24
2024-08-21,50.45
2024-08-22,50.22
2024-08-23,50.74
2024-08-26,50.79
2024-08-27,50.71
2024-08-28,49.85
2024-08-29,50.39
2024-08-30,50.54
2024-09-03,50.06
