Date,GOOG
2023-09-05,136.55
2023-09-06,135.22
2023-09-07,136.05
2023-09-08,137.04
2023-09-11,137.58
2023-09-12,135.92
2023-09-13,137.34
2023-09-14,138.83
2023-09-15,138.14
2023-09-18,138.8
2023-09-19,138.67
2023-09-20,134.44
2023-09-21,131.21
2023-09-22,131.1
2023-09-25,132.02
2023-09-26,129.3
2023-09-27,131.31
2023-09-28,132.98
2023-09-29,131.7
2023-10-02,135.02
2023-10-03,133.15
2023-10-04,136.12
2023-10-05,135.84
2023-10-06,138.57
2023-10-09,139.34
2023-10-10,139.04
2023-10-11,141.54
2023-10-12,140.13
2023-10-13,138.42
2023-10-16,140.33
2023-10-17,140.83
2023-10-18,139.12
2023-10-19,138.82
2023-10-20,136.58
2023-10-23,137.74
2023-10-24,139.96
2023-10-25,126.53
2023-10-26,123.3
2023-10-27,123.26
2023-10-30,125.61
2023-10-31,125.16
2023-11-01,127.42
2023-11-02,128.43
2023-11-03,130.22
2023-11-06,131.3
2023-11-07,132.25
2023-11-08,133.11
2023-11-09,131.54
2023-11-10,133.91
2023-11-13,133.49
2023-11-14,135.28
2023-11-15,136.22
2023-11-16,138.54
2023-11-17,136.78
2023-11-20,137.76
2023-11-21,138.46
2023-11-22,139.86
2023-11-24,138.06
2023-11-27,137.89
2023-11-28,138.46
2023-11-29,136.24
2023-11-30,133.77
2023-12-01,133.17
2023-12-04,130.48
2023-12-05,132.24
2023-12-06,131.28
2023-12-07,138.29
2023-12-08,136.48
2023-12-11,134.55
2023-12-12,133.49
2023-12-13,133.82
2023-12-14,133.05
2023-12-15,133.69
2023-12-18,137.03
2023-12-19,137.94
2023-12-20,139.5
2023-12-21,141.64
2023-12-22,142.56
2023-12-26,142.66
2023-12-27,141.28
2023-12-28,141.12
2023-12-29,140.77
2024-01-02,139.4
2024-01-03,140.2
2024-01-04,137.88
2024-01-05,137.23
2024-01-08,140.37
2024-01-09,142.4
2024-01-10,143.64
2024-01-11,143.51
2024-01-12,144.08
2024-01-16,143.92
2024-01-17,142.73
2024-01-18,144.83
2024-01-19,147.8
2024-01-22,147.54
2024-01-23,148.51
2024-01-24,150.18
2024-01-25,153.47
2024-01-26,153.62
2024-01-29,154.66
2024-01-30,152.88
2024-01-31,141.64
2024-02-01,142.55
2024-02-02,143.38
2024-02-05,144.77
2024-02-06,145.24
2024-02-07,146.51
2024-02-08,147.05
2024-02-09,150.05
2024-02-12,148.56
2024-02-13,146.2
2024-02-14,146.97
2024-02-15,143.78
2024-02-16,141.6
2024-02-20,142.04
2024-02-21,143.68
2024-02-22,145.15
2024-02-23,145.12
2024-02-26,138.59
2024-02-27,139.94
2024-02-28,137.27
2024-02-29,139.62
2024-03-01,137.92
2024-03-04,134.05
2024-03-05,133.63
2024-03-06,132.41
2024-03-07,135.09
2024-03-08,136.14
2024-03-11,138.78
2024-03-12,139.46
2024-03-13,140.61
2024-03-14,144.18
2024-03-15,142.01
2024-03-18,148.31
2024-03-19,147.75
2024-03-20,149.51
2024-03-21,148.57
2024-03-22,151.6
2024-03-25,150.98
2024-03-26,151.53
2024-03-27,151.77
2024-03-28,152.09
2024-04-01,156.32
2024-04-02,155.69
2024-04-03,156.19
2024-04-04,151.77
2024-04-05,153.77
2024-04-08,155.96
2024-04-09,157.96
2024-04-10,157.48
2024-04-11,160.61
2024-04-12,159.01
2024-04-15,156.15
2024-04-16,155.82
2024-04-17,156.7
2024-04-18,157.28
2024-04-19,155.54
2024-04-22,157.77
2024-04-23,159.74
2024-04-24,160.92
2024-04-25,157.77
2024-04-26,173.49
2024-04-29,167.71
2024-04-30,164.45
2024-05-01,165.38
2024-05-02,168.27
2024-05-03,168.8
2024-05-06,169.64
2024-05-07,172.78
2024-05-08,170.97
2024-05-09,171.38
2024-05-10,170.1
2024-05-13,170.71
2024-05-14,171.73
2024-05-15,173.68
2024-05-16,175.23
2024-05-17,177.09
2024-05-20,178.26
2024-05-21,179.34
2024-05-22,177.8
2024-05-23,174.86
2024-05-24,176.13
2024-05-28,177.82
2024-05-29,177.2
2024-05-30,173.36
2024-05-31,173.76
2024-06-03,174.22
2024-06-04,174.93
2024-06-05,176.87
2024-06-06,178.15
2024-06-07,175.75
2024-06-10,176.63
2024-06-11,178.19
2024-06-12,179.56
2024-06-13,176.74
2024-06-14,178.37
2024-06-17,178.78
2024-06-18,176.45
2024-06-20,177.71
2024-06-21,180.26
2024-06-24,180.79
2024-06-25,185.58
2024-06-26,185.37
2024-06-27,186.86
2024-06-28,183.42
2024-07-01,184.49
2024-07-02,186.61
2024-07-03,187.39
2024-07-05,191.96
2024-07-08,190.48
2024-07-09,190.44
2024-07-10,192.66
2024-07-11,187.3
2024-07-12,186.78
2024-07-15,188.19
2024-07-16,185.5
2024-07-17,182.62
2024-07-18,179.22
2024-07-19,179.39
2024-07-22,183.35
2024-07-23,183.6
2024-07-24,174.37
2024-07-25,169.16
2024-07-26,168.68
2024-07-29,171.13
2024-07-30,171.86
2024-07-31,173.15
2024-08-01,172.45
2024-08-02,168.4
2024-08-05,160.64
2024-08-06,160.54
2024-08-07,160.75
2024-08-08,163.84
2024-08-09,165.39
2024-08-12,163.95
2024-08-13,165.93
2024-08-14,162.03
2024-08-15,163.17
2024-08-16,164.74
2024-08-19,168.4
2024-08-20,168.96
2024-08-21,167.63
2024-08-22,165.49
2024-08-23,167.43
2024-08-26,167.93
2024-08-27,166.38
2024-08-28,164.5
2024-08-29,163.4
2024-08-30,165.11
2024-09-03,158.61
