Date,KO
2023-09-05,56.99
2023-09-06,56.96
2023-09-07,56.52
2023-09-08,56.52
2023-09-11,57.05
2023-09-12,56.49
2023-09-13,56.63
2023-09-14,57.09
2023-09-15,56.59
2023-09-18,56.94
2023-09-19,56.82
2023-09-20,57.08
2023-09-21,56.2
2023-09-22,56.26
2023-09-25,55.67
2023-09-26,55.21
2023-09-27,54.64
2023-09-28,54.51
2023-09-29,54.67
2023-10-02,54.18
2023-10-03,53.6
2023-10-04,53.75
2023-10-05,51.16
2023-10-06,51.9
2023-10-09,51.65
2023-10-10,52.77
2023-10-11,52.46
2023-10-12,51.58
2023-10-13,51.65
2023-10-16,52.18
2023-10-17,52.81
2023-10-18,52.79
2023-10-19,53.08
2023-10-20,53.3
2023-10-23,52.82
2023-10-24,54.34
2023-10-25,54.81
2023-10-26,54.48
2023-10-27,53.95
2023-10-30,54.84
2023-10-31,55.17
2023-11-01,55.12
2023-11-02,55.76
2023-11-03,55.42
2023-11-06,55.64
2023-11-07,55.84
2023-11-08,55.76
2023-11-09,55.34
2023-11-10,55.4
2023-11-13,55.6
2023-11-14,55.77
2023-11-15,55.87
2023-11-16,55.82
2023-11-17,55.92
2023-11-20,56.06
2023-11-21,56.67
2023-11-22,57.06
2023-11-24,57.2
2023-11-27,57.09
2023-11-28,57.21
2023-11-29,56.87
2023-11-30,57.53
2023-12-01,57.73
2023-12-04,57.66
2023-12-05,57.75
2023-12-06,57.69
2023-12-07,57.83
2023-12-08,57.7
2023-12-11,58.12
2023-12-12,58.49
2023-12-13,59.0
2023-12-14,58.12
2023-12-15,57.69
2023-12-18,58.1
2023-12-19,57.91
2023-12-20,56.71
2023-12-21,57.09
2023-12-22,57.41
2023-12-26,57.65
2023-12-27,57.8
2023-12-28,57.84
2023-12-29,58.01
2024-01-02,58.89
2024-01-03,59.03
2024-01-04,58.83
2024-01-05,58.74
2024-01-08,59.17
2024-01-09,59.07
2024-01-10,59.26
2024-01-11,58.88
2024-01-12,59.45
2024-01-16,59.06
2024-01-17,59.06
2024-01-18,59.22
2024-01-19,58.9
2024-01-22,58.64
2024-01-23,58.92
2024-01-24,57.99
2024-01-25,58.24
2024-01-26,58.45
2024-01-29,58.8
2024-01-30,58.97
2024-01-31,58.56
2024-02-01,60.03
2024-02-02,59.6
2024-02-05,59.1
2024-02-06,59.01
2024-02-07,59.06
2024-02-08,58.9
2024-02-09,58.63
2024-02-12,58.77
2024-02-13,58.43
2024-02-14,58.37
2024-02-15,58.47
2024-02-16,58.47
2024-02-20,59.75
2024-02-21,60.29
2024-02-22,60.2
2024-02-23,60.25
2024-02-26,59.76
2024-02-27,59.4
2024-02-28,59.46
2024-02-29,59.09
2024-03-01,58.6
2024-03-04,58.88
2024-03-05,58.59
2024-03-06,58.62
2024-03-07,58.51
2024-03-08,58.59
2024-03-11,59.3
2024-03-12,59.56
2024-03-13,60.17
2024-03-14,60.03
2024-03-15,59.42
2024-03-18,59.67
2024-03-19,59.77
2024-03-20,60.28
2024-03-21,60.0
2024-03-22,60.02
2024-03-25,59.93
2024-03-26,60.07
2024-03-27,60.56
2024-03-28,60.71
2024-04-01,60.21
2024-04-02,59.69
2024-04-03,59.37
2024-04-04,58.84
2024-04-05,59.05
2024-04-08,58.81
2024-04-09,59.26
2024-04-10,58.47
2024-04-11,58.6
2024-04-12,57.83
2024-04-15,57.69
2024-04-16,57.61
2024-04-17,58.06
2024-04-18,58.46
2024-04-19,59.71
2024-04-22,60.08
2024-04-23,60.17
2024-04-24,61.08
2024-04-25,61.26
2024-04-26,61.26
2024-04-29,61.56
2024-04-30,61.29
2024-05-01,61.45
2024-05-02,61.51
2024-05-03,61.69
2024-05-06,61.87
2024-05-07,62.14
2024-05-08,62.37
2024-05-09,62.4
2024-05-10,62.77
2024-05-13,63.09
2024-05-14,62.61
2024-05-15,62.64
2024-05-16,62.83
2024-05-17,62.54
2024-05-20,62.09
2024-05-21,62.43
2024-05-22,62.51
2024-05-23,61.61
2024-05-24,61.52
2024-05-28,61.34
2024-05-29,61.22
2024-05-30,61.49
2024-05-31,62.45
2024-06-03,62.45
2024-06-04,63.45
2024-06-05,63.43
2024-06-06,63.66
2024-06-07,63.42
2024-06-10,63.1
2024-06-11,63.06
2024-06-12,62.4
2024-06-13,62.51
2024-06-14,62.55
2024-06-17,62.62
2024-06-18,62.63
2024-06-20,62.18
2024-06-21,62.77
2024-06-24,63.97
2024-06-25,63.84
2024-06-26,64.05
2024-06-27,63.91
2024-06-28,63.65
2024-07-01,63.28
2024-07-02,63.15
2024-07-03,63.33
2024-07-05,63.76
2024-07-08,62.96
2024-07-09,62.69
2024-07-10,62.83
2024-07-11,63.1
2024-07-12,63.7
2024-07-15,63.41
2024-07-16,64.27
2024-07-17,65.21
2024-07-18,65.19
2024-07-19,65.29
2024-07-22,64.77
2024-07-23,64.96
2024-07-24,65.81
2024-07-25,66.07
2024-07-26,67.05
2024-07-29,66.83
2024-07-30,67.68
2024-07-31,66.74
2024-08-01,67.96
2024-08-02,69.33
2024-08-05,68.1
2024-08-06,68.05
2024-08-07,68.46
2024-08-08,68.73
2024-08-09,68.68
2024-08-12,68.17
2024-08-13,68.46
2024-08-14,68.58
2024-08-15,68.65
2024-08-16,69.18
2024-08-19,68.98
2024-08-20,69.38
2024-08-21,69.57
2024-08-22,69.33
2024-08-23,69.79
2024-08-26,70.84
2024-08-27,71.5
2024-08-28,71.75
2024-08-29,72.05
2024-08-30,72.47
2024-09-03,73.01
