Date,MC.PA
2023-09-05,746.04
2023-09-06,718.91
2023-09-07,711.64
2023-09-08,727.27
2023-09-11,729.43
2023-09-12,721.76
2023-09-13,717.05
2023-09-14,729.82
2023-09-15,748.1
2023-09-18,729.73
2023-09-19,724.12
2023-09-20,724.03
2023-09-21,716.75
2023-09-22,719.7
2023-09-25,701.03
2023-09-26,690.91
2023-09-27,686.68
2023-09-28,693.85
2023-09-29,704.07
2023-10-02,702.6
2023-10-03,693.17
2023-10-04,700.24
2023-10-05,708.2
2023-10-06,717.15
2023-10-09,698.47
2023-10-10,720.88
2023-10-11,674.3
2023-10-12,663.39
2023-10-13,649.23
2023-10-16,655.62
2023-10-17,656.9
2023-10-18,656.21
2023-10-19,659.06
2023-10-20,652.58
2023-10-23,657.88
2023-10-24,669.28
2023-10-25,667.42
2023-10-26,656.9
2023-10-27,650.02
2023-10-30,659.46
2023-10-31,662.9
2023-11-01,663.68
2023-11-02,689.04
2023-11-03,690.71
2023-11-06,685.2
2023-11-07,685.5
2023-11-08,691.4
2023-11-09,702.11
2023-11-10,675.28
2023-11-13,676.65
2023-11-14,694.74
2023-11-15,706.63
2023-11-16,693.95
2023-11-17,699.36
2023-11-20,705.35
2023-11-21,691.99
2023-11-22,700.05
2023-11-23,699.36
2023-11-24,694.74
2023-11-27,685.3
2023-11-28,672.72
2023-11-29,678.62
2023-11-30,690.61
2023-12-01,687.17
2023-12-04,692.12
2023-12-05,706.49
2023-12-06,711.84
2023-12-07,708.86
2023-12-08,732.14
2023-12-11,733.03
2023-12-12,726.69
2023-12-13,727.59
2023-12-14,739.77
2023-12-15,741.36
2023-12-18,734.82
2023-12-19,738.48
2023-12-20,739.87
2023-12-21,736.4
2023-12-22,730.76
2023-12-27,728.48
2023-12-28,724.12
2023-12-29,726.69
2024-01-02,716.19
2024-01-03,688.85
2024-01-04,691.23
2024-01-05,682.42
2024-01-08,684.79
2024-01-09,674.29
2024-01-10,676.57
2024-01-11,665.87
2024-01-12,663.59
2024-01-15,662.9
2024-01-16,660.03
2024-01-17,641.31
2024-01-18,657.16
2024-01-19,653.19
2024-01-22,656.66
2024-01-23,664.09
2024-01-24,676.97
2024-01-25,678.85
2024-01-26,765.82
2024-01-29,768.99
2024-01-30,774.64
2024-01-31,766.32
2024-02-01,763.35
2024-02-02,770.78
2024-02-05,773.35
2024-02-06,772.16
2024-02-07,776.72
2024-02-08,796.93
2024-02-09,799.9
2024-02-12,814.16
2024-02-13,793.26
2024-02-14,795.05
2024-02-15,807.92
2024-02-16,808.12
2024-02-19,814.16
2024-02-20,812.48
2024-02-21,813.87
2024-02-22,832.49
2024-02-23,842.1
2024-02-26,834.27
2024-02-27,842.4
2024-02-28,839.72
2024-02-29,834.87
2024-03-01,838.43
2024-03-04,831.9
2024-03-05,821.3
2024-03-06,824.76
2024-03-07,831.9
2024-03-08,836.95
2024-03-11,842.4
2024-03-12,850.91
2024-03-13,859.04
2024-03-14,864.58
2024-03-15,854.18
2024-03-18,850.02
2024-03-19,852.1
2024-03-20,838.24
2024-03-21,839.92
2024-03-22,820.8
2024-03-25,817.73
2024-03-26,814.06
2024-03-27,822.48
2024-03-28,825.85
2024-04-02,814.06
2024-04-03,808.32
2024-04-04,811.69
2024-04-05,792.27
2024-04-08,799.7
2024-04-09,787.72
2024-04-10,785.54
2024-04-11,783.06
2024-04-12,773.85
2024-04-15,787.32
2024-04-16,774.44
2024-04-17,796.43
2024-04-18,789.3
2024-04-19,789.1
2024-04-22,789.3
2024-04-23,799.6
2024-04-24,800.2
2024-04-25,778.0
2024-04-26,792.2
2024-04-29,779.2
2024-04-30,774.4
2024-05-02,767.0
2024-05-03,782.0
2024-05-06,781.7
2024-05-07,789.4
2024-05-08,787.9
2024-05-09,789.0
2024-05-10,788.4
2024-05-13,782.6
2024-05-14,791.9
2024-05-15,789.0
2024-05-16,786.0
2024-05-17,783.2
2024-05-20,779.1
2024-05-21,768.1
2024-05-22,751.9
2024-05-23,752.8
2024-05-24,750.0
2024-05-27,756.2
2024-05-28,745.4
2024-05-29,724.2
2024-05-30,734.4
2024-05-31,734.9
2024-06-03,738.0
2024-06-04,735.0
2024-06-05,752.6
2024-06-06,762.7
2024-06-07,762.5
2024-06-10,746.3
2024-06-11,736.6
2024-06-12,735.4
2024-06-13,731.5
2024-06-14,711.4
2024-06-17,717.4
2024-06-18,710.1
2024-06-19,707.0
2024-06-20,713.6
2024-06-21,717.3
2024-06-24,726.5
2024-06-25,736.8
2024-06-26,727.0
2024-06-27,715.5
2024-06-28,713.6
2024-07-01,712.0
2024-07-02,709.6
2024-07-03,714.8
2024-07-04,719.8
2024-07-05,716.4
2024-07-08,695.7
2024-07-09,686.9
2024-07-10,697.6
2024-07-11,710.0
2024-07-12,724.8
2024-07-15,705.6
2024-07-16,692.1
2024-07-17,690.2
2024-07-18,690.3
2024-07-19,679.8
2024-07-22,692.1
2024-07-23,691.6
2024-07-24,659.4
2024-07-25,652.6
2024-07-26,663.1
2024-07-29,654.7
2024-07-30,652.4
2024-07-31,653.0
2024-08-01,642.0
2024-08-02,630.5
2024-08-05,624.3
2024-08-06,621.9
2024-08-07,631.4
2024-08-08,633.3
2024-08-09,636.0
2024-08-12,635.1
2024-08-13,634.2
2024-08-14,644.2
2024-08-15,656.0
2024-08-16,658.1
2024-08-19,674.5
2024-08-20,677.8
2024-08-21,678.8
2024-08-22,678.0
2024-08-23,681.1
2024-08-26,682.0
2024-08-27,669.8
2024-08-28,666.2
2024-08-29,677.4
2024-08-30,674.3
2024-09-02,673.2
2024-09-03,670.9
