Date,META
2023-09-05,299.53
2023-09-06,298.56
2023-09-07,298.06
2023-09-08,297.28
2023-09-11,306.93
2023-09-12,301.04
2023-09-13,304.43
2023-09-14,311.08
2023-09-15,299.69
2023-09-18,301.93
2023-09-19,304.44
2023-09-20,299.06
2023-09-21,295.12
2023-09-22,298.47
2023-09-25,300.21
2023-09-26,298.35
2023-09-27,297.13
2023-09-28,303.34
2023-09-29,299.59
2023-10-02,306.19
2023-10-03,300.32
2023-10-04,304.95
2023-10-05,304.16
2023-10-06,314.78
2023-10-09,317.71
2023-10-10,321.18
2023-10-11,327.15
2023-10-12,323.5
2023-10-13,314.04
2023-10-16,320.49
2023-10-17,323.34
2023-10-18,316.32
2023-10-19,312.17
2023-10-20,308.02
2023-10-23,313.37
2023-10-24,311.91
2023-10-25,298.92
2023-10-26,287.76
2023-10-27,296.12
2023-10-30,302.04
2023-10-31,300.65
2023-11-01,311.21
2023-11-02,310.23
2023-11-03,313.95
2023-11-06,315.15
2023-11-07,318.17
2023-11-08,319.12
2023-11-09,319.89
2023-11-10,328.1
2023-11-13,328.51
2023-11-14,335.62
2023-11-15,332.03
2023-11-16,333.5
2023-11-17,334.35
2023-11-20,339.27
2023-11-21,336.29
2023-11-22,340.79
2023-11-24,337.54
2023-11-27,334.01
2023-11-28,338.29
2023-11-29,331.52
2023-11-30,326.48
2023-12-01,324.15
2023-12-04,319.36
2023-12-05,317.64
2023-12-06,316.8
2023-12-07,325.92
2023-12-08,332.07
2023-12-11,324.61
2023-12-12,333.53
2023-12-13,334.05
2023-12-14,332.49
2023-12-15,334.23
2023-12-18,343.91
2023-12-19,349.64
2023-12-20,348.56
2023-12-21,353.36
2023-12-22,352.67
2023-12-26,354.1
2023-12-27,357.1
2023-12-28,357.59
2023-12-29,353.23
2024-01-02,345.58
2024-01-03,343.76
2024-01-04,346.41
2024-01-05,351.23
2024-01-08,357.92
2024-01-09,356.7
2024-01-10,369.71
2024-01-11,368.91
2024-01-12,373.72
2024-01-16,366.71
2024-01-17,367.61
2024-01-18,375.36
2024-01-19,382.66
2024-01-22,381.0
2024-01-23,384.41
2024-01-24,389.9
2024-01-25,392.37
2024-01-26,393.33
2024-01-29,400.2
2024-01-30,399.24
2024-01-31,389.34
2024-02-01,393.97
2024-02-02,474.02
2024-02-05,458.47
2024-02-06,453.79
2024-02-07,468.63
2024-02-08,469.04
2024-02-09,467.15
2024-02-12,467.94
2024-02-13,459.18
2024-02-14,472.31
2024-02-15,483.04
2024-02-16,472.35
2024-02-20,470.78
2024-02-21,467.57
2024-02-22,485.65
2024-02-23,483.55
2024-02-26,481.26
2024-02-27,486.57
2024-02-28,483.54
2024-02-29,489.64
2024-03-01,501.8
2024-03-04,497.7
2024-03-05,489.73
2024-03-06,495.6
2024-03-07,511.68
2024-03-08,505.45
2024-03-11,483.11
2024-03-12,499.25
2024-03-13,495.08
2024-03-14,491.34
2024-03-15,483.62
2024-03-18,496.49
2024-03-19,495.75
2024-03-20,505.02
2024-03-21,507.26
2024-03-22,509.07
2024-03-25,502.52
2024-03-26,495.4
2024-03-27,493.37
2024-03-28,485.1
2024-04-01,490.86
2024-04-02,496.88
2024-04-03,506.24
2024-04-04,510.41
2024-04-05,526.82
2024-04-08,518.73
2024-04-09,516.39
2024-04-10,519.31
2024-04-11,522.64
2024-04-12,511.39
2024-04-15,499.73
2024-04-16,499.26
2024-04-17,493.68
2024-04-18,501.3
2024-04-19,480.59
2024-04-22,481.25
2024-04-23,495.61
2024-04-24,493.01
2024-04-25,440.94
2024-04-26,442.85
2024-04-29,432.19
2024-04-30,429.74
2024-05-01,438.75
2024-05-02,441.24
2024-05-03,451.51
2024-05-06,465.22
2024-05-07,467.78
2024-05-08,472.13
2024-05-09,474.95
2024-05-10,475.73
2024-05-13,467.55
2024-05-14,471.38
2024-05-15,481.06
2024-05-16,472.76
2024-05-17,471.44
2024-05-20,468.37
2024-05-21,464.17
2024-05-22,467.32
2024-05-23,465.32
2024-05-24,477.75
2024-05-28,479.44
2024-05-29,473.89
2024-05-30,466.59
2024-05-31,466.37
2024-06-03,477.02
2024-06-04,476.52
2024-06-05,494.57
2024-06-06,493.27
2024-06-07,492.47
2024-06-10,502.1
2024-06-11,506.97
2024-06-12,508.34
2024-06-13,503.6
2024-06-14,504.16
2024-06-17,506.63
2024-06-18,499.49
2024-06-20,501.7
2024-06-21,494.78
2024-06-24,498.91
2024-06-25,510.6
2024-06-26,513.12
2024-06-27,519.56
2024-06-28,504.22
2024-07-01,504.68
2024-07-02,509.5
2024-07-03,509.96
2024-07-05,539.91
2024-07-08,529.32
2024-07-09,530.0
2024-07-10,534.69
2024-07-11,512.7
2024-07-12,498.87
2024-07-15,496.16
2024-07-16,489.79
2024-07-17,461.99
2024-07-18,475.85
2024-07-19,476.79
2024-07-22,487.4
2024-07-23,488.69
2024-07-24,461.27
2024-07-25,453.41
2024-07-26,465.7
2024-07-29,465.71
2024-07-30,463.19
2024-07-31,474.83
2024-08-01,497.74
2024-08-02,488.14
2024-08-05,475.73
2024-08-06,494.09
2024-08-07,488.92
2024-08-08,509.63
2024-08-09,517.77
2024-08-12,515.95
2024-08-13,528.54
2024-08-14,526.76
2024-08-15,537.33
2024-08-16,527.42
2024-08-19,529.28
2024-08-20,526.73
2024-08-21,535.16
2024-08-22,531.93
2024-08-23,528.0
2024-08-26,521.12
2024-08-27,519.1
2024-08-28,516.78
2024-08-29,518.22
2024-08-30,521.31
2024-09-03,511.76
