Date,MO
2023-09-05,40.33
2023-09-06,39.82
2023-09-07,39.99
2023-09-08,40.32
2023-09-11,40.67
2023-09-12,41.04
2023-09-13,40.93
2023-09-14,41.24
2023-09-15,40.71
2023-09-18,40.54
2023-09-19,40.27
2023-09-20,40.25
2023-09-21,40.13
2023-09-22,39.58
2023-09-25,39.36
2023-09-26,39.18
2023-09-27,39.19
2023-09-28,39.41
2023-09-29,39.32
2023-10-02,38.88
2023-10-03,38.46
2023-10-04,38.95
2023-10-05,39.27
2023-10-06,39.34
2023-10-09,39.93
2023-10-10,39.73
2023-10-11,39.8
2023-10-12,39.5
2023-10-13,39.89
2023-10-16,40.09
2023-10-17,40.39
2023-10-18,40.32
2023-10-19,39.85
2023-10-20,39.94
2023-10-23,39.4
2023-10-24,39.78
2023-10-25,40.04
2023-10-26,36.71
2023-10-27,36.75
2023-10-30,37.64
2023-10-31,37.56
2023-11-01,37.31
2023-11-02,38.03
2023-11-03,38.03
2023-11-06,37.91
2023-11-07,37.88
2023-11-08,37.59
2023-11-09,37.51
2023-11-10,37.42
2023-11-13,37.41
2023-11-14,37.61
2023-11-15,38.11
2023-11-16,38.06
2023-11-17,38.17
2023-11-20,38.19
2023-11-21,38.12
2023-11-22,38.52
2023-11-24,38.78
2023-11-27,38.75
2023-11-28,39.11
2023-11-29,39.05
2023-11-30,39.31
2023-12-01,39.84
2023-12-04,39.74
2023-12-05,39.81
2023-12-06,38.68
2023-12-07,38.64
2023-12-08,38.62
2023-12-11,38.71
2023-12-12,38.68
2023-12-13,39.29
2023-12-14,39.38
2023-12-15,39.04
2023-12-18,39.46
2023-12-19,39.69
2023-12-20,38.58
2023-12-21,38.59
2023-12-22,38.63
2023-12-26,38.62
2023-12-27,38.46
2023-12-28,38.46
2023-12-29,38.62
2024-01-02,39.8
2024-01-03,39.63
2024-01-04,39.74
2024-01-05,39.72
2024-01-08,40.12
2024-01-09,40.07
2024-01-10,39.3
2024-01-11,39.82
2024-01-12,39.57
2024-01-16,39.22
2024-01-17,39.0
2024-01-18,38.71
2024-01-19,38.61
2024-01-22,38.75
2024-01-23,38.71
2024-01-24,38.22
2024-01-25,38.49
2024-01-26,38.48
2024-01-29,38.8
2024-01-30,38.73
2024-01-31,38.4
2024-02-01,39.94
2024-02-02,39.59
2024-02-05,38.79
2024-02-06,38.86
2024-02-07,38.54
2024-02-08,38.38
2024-02-09,38.4
2024-02-12,38.82
2024-02-13,38.51
2024-02-14,38.67
2024-02-15,38.45
2024-02-16,38.46
2024-02-20,38.53
2024-02-21,38.74
2024-02-22,39.15
2024-02-23,39.37
2024-02-26,38.97
2024-02-27,39.15
2024-02-28,39.24
2024-02-29,39.16
2024-03-01,39.11
2024-03-04,38.03
2024-03-05,38.23
2024-03-06,39.68
2024-03-07,39.77
2024-03-08,40.08
2024-03-11,40.86
2024-03-12,41.21
2024-03-13,41.5
2024-03-14,42.39
2024-03-15,41.99
2024-03-18,42.61
2024-03-19,42.72
2024-03-20,42.87
2024-03-21,43.03
2024-03-22,42.06
2024-03-25,42.33
2024-03-26,42.2
2024-03-27,42.72
2024-03-28,42.69
2024-04-01,42.29
2024-04-02,42.01
2024-04-03,41.22
2024-04-04,40.64
2024-04-05,40.76
2024-04-08,41.06
2024-04-09,41.21
2024-04-10,40.79
2024-04-11,40.54
2024-04-12,40.17
2024-04-15,40.07
2024-04-16,39.88
2024-04-17,40.22
2024-04-18,40.42
2024-04-19,41.19
2024-04-22,41.66
2024-04-23,41.95
2024-04-24,42.0
2024-04-25,42.61
2024-04-26,42.45
2024-04-29,42.88
2024-04-30,42.87
2024-05-01,42.88
2024-05-02,43.04
2024-05-03,42.66
2024-05-06,42.56
2024-05-07,42.91
2024-05-08,43.34
2024-05-09,43.75
2024-05-10,43.94
2024-05-13,44.08
2024-05-14,44.53
2024-05-15,44.87
2024-05-16,44.97
2024-05-17,45.09
2024-05-20,44.92
2024-05-21,45.34
2024-05-22,45.33
2024-05-23,44.66
2024-05-24,44.52
2024-05-28,44.51
2024-05-29,44.18
2024-05-30,44.47
2024-05-31,45.26
2024-06-03,45.55
2024-06-04,45.83
2024-06-05,45.67
2024-06-06,45.69
2024-06-07,45.7
2024-06-10,45.49
2024-06-11,45.41
2024-06-12,44.89
2024-06-13,44.77
2024-06-14,44.32
2024-06-17,44.7
2024-06-18,44.8
2024-06-20,45.43
2024-06-21,45.74
2024-06-24,46.45
2024-06-25,46.42
2024-06-26,46.36
2024-06-27,45.46
2024-06-28,45.55
2024-07-01,46.03
2024-07-02,46.05
2024-07-03,45.95
2024-07-05,46.1
2024-07-08,46.02
2024-07-09,46.7
2024-07-10,46.93
2024-07-11,47.08
2024-07-12,47.73
2024-07-15,47.72
2024-07-16,48.03
2024-07-17,49.39
2024-07-18,49.33
2024-07-19,49.45
2024-07-22,49.4
2024-07-23,49.12
2024-07-24,49.42
2024-07-25,49.8
2024-07-26,50.43
2024-07-29,50.53
2024-07-30,50.55
2024-07-31,49.01
2024-08-01,50.02
2024-08-02,51.07
2024-08-05,49.35
2024-08-06,49.48
2024-08-07,50.03
2024-08-08,50.45
2024-08-09,50.43
2024-08-12,50.31
2024-08-13,51.11
2024-08-14,51.19
2024-08-15,50.74
2024-08-16,51.32
2024-08-19,51.32
2024-08-20,51.44
2024-08-21,51.81
2024-08-22,51.83
2024-08-23,52.44
2024-08-26,52.71
2024-08-27,53.01
2024-08-28,53.22
2024-08-29,53.36
2024-08-30,53.77
2024-09-03,54.07
