Date,MSFT
2023-09-05,331.07
2023-09-06,330.4
2023-09-07,327.45
2023-09-08,331.78
2023-09-11,335.42
2023-09-12,329.3
2023-09-13,333.56
2023-09-14,336.18
2023-09-15,327.76
2023-09-18,326.61
2023-09-19,326.2
2023-09-20,318.38
2023-09-21,317.15
2023-09-22,314.65
2023-09-25,315.17
2023-09-26,309.81
2023-09-27,310.46
2023-09-28,311.3
2023-09-29,313.4
2023-10-02,319.4
2023-10-03,311.06
2023-10-04,316.58
2023-10-05,316.98
2023-10-06,324.82
2023-10-09,327.36
2023-10-10,325.94
2023-10-11,329.94
2023-10-12,328.69
2023-10-13,325.29
2023-10-16,330.16
2023-10-17,329.59
2023-10-18,327.65
2023-10-19,328.85
2023-10-20,324.24
2023-10-23,326.87
2023-10-24,328.07
2023-10-25,338.13
2023-10-26,325.45
2023-10-27,327.35
2023-10-30,334.8
2023-10-31,335.59
2023-11-01,343.49
2023-11-02,345.73
2023-11-03,350.17
2023-11-06,353.87
2023-11-07,357.84
2023-11-08,360.49
2023-11-09,358.0
2023-11-10,366.92
2023-11-13,363.95
2023-11-14,367.51
2023-11-15,367.66
2023-11-16,374.13
2023-11-17,367.84
2023-11-20,375.39
2023-11-21,371.04
2023-11-22,375.8
2023-11-24,375.38
2023-11-27,376.55
2023-11-28,380.62
2023-11-29,376.79
2023-11-30,376.85
2023-12-01,372.47
2023-12-04,367.13
2023-12-05,370.5
2023-12-06,366.8
2023-12-07,368.93
2023-12-08,372.2
2023-12-11,369.28
2023-12-12,372.35
2023-12-13,372.34
2023-12-14,363.94
2023-12-15,368.71
2023-12-18,370.62
2023-12-19,371.23
2023-12-20,368.61
2023-12-21,371.51
2023-12-22,372.54
2023-12-26,372.62
2023-12-27,372.04
2023-12-28,373.24
2023-12-29,374.0
2024-01-02,368.85
2024-01-03,368.59
2024-01-04,365.94
2024-01-05,365.75
2024-01-08,372.65
2024-01-09,373.75
2024-01-10,380.69
2024-01-11,382.54
2024-01-12,386.36
2024-01-16,388.15
2024-01-17,387.35
2024-01-18,391.73
2024-01-19,396.5
2024-01-22,394.35
2024-01-23,396.73
2024-01-24,400.37
2024-01-25,402.67
2024-01-26,401.73
2024-01-29,407.49
2024-01-30,406.37
2024-01-31,395.42
2024-02-01,401.59
2024-02-02,408.98
2024-02-05,403.45
2024-02-06,403.29
2024-02-07,411.8
2024-02-08,411.86
2024-02-09,418.26
2024-02-12,413.0
2024-02-13,404.11
2024-02-14,408.02
2024-02-15,405.1
2024-02-16,402.61
2024-02-20,401.34
2024-02-21,400.73
2024-02-22,410.17
2024-02-23,408.86
2024-02-26,406.07
2024-02-27,406.01
2024-02-28,406.25
2024-02-29,412.15
2024-03-01,414.01
2024-03-04,413.43
2024-03-05,401.2
2024-03-06,400.64
2024-03-07,407.67
2024-03-08,404.76
2024-03-11,403.07
2024-03-12,413.79
2024-03-13,413.61
2024-03-14,423.69
2024-03-15,414.92
2024-03-18,415.82
2024-03-19,419.89
2024-03-20,423.7
2024-03-21,427.83
2024-03-22,427.2
2024-03-25,421.34
2024-03-26,420.13
2024-03-27,419.91
2024-03-28,419.21
2024-04-01,423.04
2024-04-02,419.92
2024-04-03,418.94
2024-04-04,416.38
2024-04-05,423.99
2024-04-08,423.06
2024-04-09,424.75
2024-04-10,421.74
2024-04-11,426.39
2024-04-12,420.38
2024-04-15,412.15
2024-04-16,413.09
2024-04-17,410.36
2024-04-18,402.82
2024-04-19,397.68
2024-04-22,399.52
2024-04-23,406.1
2024-04-24,407.59
2024-04-25,397.6
2024-04-26,404.86
2024-04-29,400.8
2024-04-30,387.93
2024-05-01,393.52
2024-05-02,396.41
2024-05-03,405.2
2024-05-06,412.05
2024-05-07,407.87
2024-05-08,409.06
2024-05-09,410.84
2024-05-10,413.25
2024-05-13,412.23
2024-05-14,415.06
2024-05-15,422.32
2024-05-16,420.23
2024-05-17,419.45
2024-05-20,424.57
2024-05-21,428.27
2024-05-22,429.75
2024-05-23,426.23
2024-05-24,429.39
2024-05-28,429.55
2024-05-29,428.4
2024-05-30,413.92
2024-05-31,414.38
2024-06-03,412.78
2024-06-04,415.32
2024-06-05,423.25
2024-06-06,423.76
2024-06-07,423.09
2024-06-10,427.1
2024-06-11,431.9
2024-06-12,440.27
2024-06-13,440.79
2024-06-14,441.77
2024-06-17,447.56
2024-06-18,445.54
2024-06-20,444.9
2024-06-21,448.97
2024-06-24,446.86
2024-06-25,450.14
2024-06-26,451.35
2024-06-27,452.04
2024-06-28,446.15
2024-07-01,455.91
2024-07-02,458.45
2024-07-03,459.94
2024-07-05,466.72
2024-07-08,465.4
2024-07-09,458.71
2024-07-10,465.41
2024-07-11,453.88
2024-07-12,452.73
2024-07-15,453.14
2024-07-16,448.71
2024-07-17,442.72
2024-07-18,439.58
2024-07-19,436.32
2024-07-22,442.14
2024-07-23,444.05
2024-07-24,428.13
2024-07-25,417.65
2024-07-26,424.5
2024-07-29,425.96
2024-07-30,422.16
2024-07-31,417.6
2024-08-01,416.36
2024-08-02,407.76
2024-08-05,394.44
2024-08-06,398.89
2024-08-07,397.71
2024-08-08,401.97
2024-08-09,405.29
2024-08-12,406.08
2024-08-13,413.27
2024-08-14,416.11
2024-08-15,421.03
2024-08-16,418.47
2024-08-19,421.53
2024-08-20,424.8
2024-08-21,424.14
2024-08-22,415.55
2024-08-23,416.79
2024-08-26,413.49
2024-08-27,413.84
2024-08-28,410.6
2024-08-29,413.12
2024-08-30,417.14
2024-09-03,409.44
