Date,NDAQ
2023-09-05,49.9
2023-09-06,50.76
2023-09-07,50.84
2023-09-08,50.61
2023-09-11,50.55
2023-09-12,50.65
2023-09-13,50.29
2023-09-14,50.87
2023-09-15,50.18
2023-09-18,50.43
2023-09-19,50.34
2023-09-20,49.98
2023-09-21,48.27
2023-09-22,48.1
2023-09-25,48.07
2023-09-26,47.42
2023-09-27,47.77
2023-09-28,48.35
2023-09-29,48.02
2023-10-02,47.86
2023-10-03,46.7
2023-10-04,48.21
2023-10-05,48.45
2023-10-06,49.03
2023-10-09,49.15
2023-10-10,49.29
2023-10-11,49.08
2023-10-12,48.75
2023-10-13,48.8
2023-10-16,49.71
2023-10-17,49.35
2023-10-18,51.32
2023-10-19,50.69
2023-10-20,50.01
2023-10-23,49.24
2023-10-24,48.88
2023-10-25,48.91
2023-10-26,49.12
2023-10-27,47.04
2023-10-30,48.34
2023-10-31,49.02
2023-11-01,48.14
2023-11-02,49.28
2023-11-03,49.64
2023-11-06,50.14
2023-11-07,50.59
2023-11-08,51.14
2023-11-09,50.82
2023-11-10,51.5
2023-11-13,51.48
2023-11-14,52.49
2023-11-15,52.7
2023-11-16,52.92
2023-11-17,52.86
2023-11-20,53.51
2023-11-21,53.98
2023-11-22,54.49
2023-11-24,54.66
2023-11-27,54.5
2023-11-28,54.93
2023-11-29,55.05
2023-11-30,55.19
2023-12-01,55.25
2023-12-04,55.58
2023-12-05,55.07
2023-12-06,55.19
2023-12-07,53.71
2023-12-08,53.55
2023-12-11,53.8
2023-12-12,53.75
2023-12-13,55.95
2023-12-14,55.68
2023-12-15,54.32
2023-12-18,54.95
2023-12-19,55.33
2023-12-20,54.72
2023-12-21,55.66
2023-12-22,56.6
2023-12-26,57.18
2023-12-27,57.54
2023-12-28,57.79
2023-12-29,57.69
2024-01-02,56.46
2024-01-03,55.56
2024-01-04,55.6
2024-01-05,55.24
2024-01-08,56.27
2024-01-09,55.93
2024-01-10,56.45
2024-01-11,56.1
2024-01-12,56.49
2024-01-16,56.02
2024-01-17,55.68
2024-01-18,56.39
2024-01-19,57.4
2024-01-22,57.71
2024-01-23,57.93
2024-01-24,57.75
2024-01-25,57.92
2024-01-26,58.17
2024-01-29,57.8
2024-01-30,58.0
2024-01-31,57.32
2024-02-01,56.65
2024-02-02,56.21
2024-02-05,55.55
2024-02-06,55.89
2024-02-07,56.47
2024-02-08,56.32
2024-02-09,56.81
2024-02-12,56.39
2024-02-13,55.27
2024-02-14,55.38
2024-02-15,55.06
2024-02-16,54.99
2024-02-20,55.11
2024-02-21,55.61
2024-02-22,56.12
2024-02-23,56.21
2024-02-26,55.76
2024-02-27,55.93
2024-02-28,55.89
2024-02-29,55.77
2024-03-01,56.09
2024-03-04,56.53
2024-03-05,56.49
2024-03-06,57.44
2024-03-07,58.67
2024-03-08,59.55
2024-03-11,59.57
2024-03-12,59.28
2024-03-13,59.3
2024-03-14,58.45
2024-03-15,59.44
2024-03-18,60.05
2024-03-19,62.21
2024-03-20,60.63
2024-03-21,61.59
2024-03-22,61.38
2024-03-25,60.81
2024-03-26,61.98
2024-03-27,62.74
2024-03-28,62.84
2024-04-01,62.04
2024-04-02,61.08
2024-04-03,61.33
2024-04-04,60.81
2024-04-05,61.79
2024-04-08,61.89
2024-04-09,63.3
2024-04-10,62.75
2024-04-11,62.8
2024-04-12,61.27
2024-04-15,59.95
2024-04-16,59.79
2024-04-17,59.77
2024-04-18,59.83
2024-04-19,60.11
2024-04-22,60.95
2024-04-23,60.84
2024-04-24,61.25
2024-04-25,60.05
2024-04-26,59.88
2024-04-29,59.84
2024-04-30,59.61
2024-05-01,59.64
2024-05-02,59.83
2024-05-03,60.62
2024-05-06,61.35
2024-05-07,60.65
2024-05-08,59.67
2024-05-09,59.94
2024-05-10,60.41
2024-05-13,60.37
2024-05-14,60.17
2024-05-15,61.1
2024-05-16,61.98
2024-05-17,62.51
2024-05-20,62.2
2024-05-21,62.19
2024-05-22,62.2
2024-05-23,61.27
2024-05-24,61.98
2024-05-28,59.96
2024-05-29,59.61
2024-05-30,58.81
2024-05-31,58.79
2024-06-03,58.5
2024-06-04,59.19
2024-06-05,59.47
2024-06-06,59.02
2024-06-07,58.54
2024-06-10,59.06
2024-06-11,58.78
2024-06-12,59.31
2024-06-13,58.96
2024-06-14,58.6
2024-06-17,58.63
2024-06-18,58.99
2024-06-20,59.23
2024-06-21,60.25
2024-06-24,60.1
2024-06-25,59.91
2024-06-26,59.76
2024-06-27,60.18
2024-06-28,60.26
2024-07-01,59.48
2024-07-02,59.96
2024-07-03,60.14
2024-07-05,60.38
2024-07-08,60.44
2024-07-09,60.81
2024-07-10,61.63
2024-07-11,62.2
2024-07-12,62.7
2024-07-15,63.0
2024-07-16,63.3
2024-07-17,63.49
2024-07-18,62.48
2024-07-19,62.51
2024-07-22,63.03
2024-07-23,63.13
2024-07-24,62.73
2024-07-25,67.26
2024-07-26,66.96
2024-07-29,67.92
2024-07-30,69.15
2024-07-31,67.68
2024-08-01,67.32
2024-08-02,66.86
2024-08-05,64.4
2024-08-06,66.19
2024-08-07,66.8
2024-08-08,68.04
2024-08-09,68.09
2024-08-12,67.98
2024-08-13,68.92
2024-08-14,69.3
2024-08-15,69.78
2024-08-16,69.83
2024-08-19,69.97
2024-08-20,70.09
2024-08-21,70.24
2024-08-22,70.63
2024-08-23,70.35
2024-08-26,70.59
2024-08-27,71.05
2024-08-28,70.95
2024-08-29,71.19
2024-08-30,72.08
2024-09-03,71.39
