Date,NVDA
2023-09-05,48.53
2023-09-06,47.05
2023-09-07,46.23
2023-09-08,45.56
2023-09-11,45.17
2023-09-12,44.86
2023-09-13,45.48
2023-09-14,45.57
2023-09-15,43.89
2023-09-18,43.96
2023-09-19,43.51
2023-09-20,42.23
2023-09-21,41.01
2023-09-22,41.6
2023-09-25,42.21
2023-09-26,41.9
2023-09-27,42.46
2023-09-28,43.08
2023-09-29,43.49
2023-10-02,44.77
2023-10-03,43.51
2023-10-04,44.03
2023-10-05,44.68
2023-10-06,45.75
2023-10-09,45.26
2023-10-10,45.79
2023-10-11,46.8
2023-10-12,46.93
2023-10-13,45.45
2023-10-16,46.09
2023-10-17,43.93
2023-10-18,42.19
2023-10-19,42.09
2023-10-20,41.38
2023-10-23,42.97
2023-10-24,43.65
2023-10-25,41.77
2023-10-26,40.32
2023-10-27,40.49
2023-10-30,41.15
2023-10-31,40.77
2023-11-01,42.32
2023-11-02,43.5
2023-11-03,45.0
2023-11-06,45.74
2023-11-07,45.95
2023-11-08,46.56
2023-11-09,46.94
2023-11-10,48.32
2023-11-13,48.61
2023-11-14,49.65
2023-11-15,48.88
2023-11-16,49.47
2023-11-17,49.29
2023-11-20,50.4
2023-11-21,49.93
2023-11-22,48.71
2023-11-24,47.77
2023-11-27,48.23
2023-11-28,47.81
2023-11-29,48.13
2023-11-30,46.76
2023-12-01,46.75
2023-12-04,45.5
2023-12-05,46.56
2023-12-06,45.5
2023-12-07,46.59
2023-12-08,47.5
2023-12-11,46.62
2023-12-12,47.65
2023-12-13,48.08
2023-12-14,48.34
2023-12-15,48.88
2023-12-18,50.07
2023-12-19,49.6
2023-12-20,48.1
2023-12-21,48.98
2023-12-22,48.82
2023-12-26,49.27
2023-12-27,49.41
2023-12-28,49.52
2023-12-29,49.52
2024-01-02,48.16
2024-01-03,47.56
2024-01-04,47.99
2024-01-05,49.09
2024-01-08,52.25
2024-01-09,53.13
2024-01-10,54.34
2024-01-11,54.81
2024-01-12,54.7
2024-01-16,56.37
2024-01-17,56.05
2024-01-18,57.1
2024-01-19,59.48
2024-01-22,59.65
2024-01-23,59.87
2024-01-24,61.35
2024-01-25,61.61
2024-01-26,61.02
2024-01-29,62.46
2024-01-30,62.77
2024-01-31,61.52
2024-02-01,63.02
2024-02-02,66.15
2024-02-05,69.32
2024-02-06,68.21
2024-02-07,70.09
2024-02-08,69.63
2024-02-09,72.12
2024-02-12,72.24
2024-02-13,72.12
2024-02-14,73.89
2024-02-15,72.65
2024-02-16,72.6
2024-02-20,69.44
2024-02-21,67.46
2024-02-22,78.53
2024-02-23,78.81
2024-02-26,79.08
2024-02-27,78.69
2024-02-28,77.65
2024-02-29,79.1
2024-03-01,82.27
2024-03-04,85.23
2024-03-05,85.96
2024-03-06,88.69
2024-03-07,92.66
2024-03-08,87.52
2024-03-11,85.77
2024-03-12,91.91
2024-03-13,90.88
2024-03-14,87.94
2024-03-15,87.83
2024-03-18,88.45
2024-03-19,89.39
2024-03-20,90.36
2024-03-21,91.43
2024-03-22,94.28
2024-03-25,94.99
2024-03-26,92.55
2024-03-27,90.24
2024-03-28,90.35
2024-04-01,90.36
2024-04-02,89.44
2024-04-03,88.96
2024-04-04,85.9
2024-04-05,88.0
2024-04-08,87.13
2024-04-09,85.35
2024-04-10,87.03
2024-04-11,90.61
2024-04-12,88.18
2024-04-15,85.99
2024-04-16,87.41
2024-04-17,84.03
2024-04-18,84.66
2024-04-19,76.19
2024-04-22,79.51
2024-04-23,82.42
2024-04-24,79.67
2024-04-25,82.63
2024-04-26,87.73
2024-04-29,87.75
2024-04-30,86.39
2024-05-01,83.03
2024-05-02,85.81
2024-05-03,88.78
2024-05-06,92.13
2024-05-07,90.55
2024-05-08,90.4
2024-05-09,88.74
2024-05-10,89.87
2024-05-13,90.39
2024-05-14,91.35
2024-05-15,94.62
2024-05-16,94.35
2024-05-17,92.47
2024-05-20,94.77
2024-05-21,95.38
2024-05-22,94.94
2024-05-23,103.79
2024-05-24,106.46
2024-05-28,113.89
2024-05-29,114.82
2024-05-30,110.49
2024-05-31,109.62
2024-06-03,114.99
2024-06-04,116.43
2024-06-05,122.43
2024-06-06,120.99
2024-06-07,120.88
2024-06-10,121.78
2024-06-11,120.91
2024-06-12,125.2
2024-06-13,129.61
2024-06-14,131.88
2024-06-17,130.98
2024-06-18,135.58
2024-06-20,130.78
2024-06-21,126.57
2024-06-24,118.11
2024-06-25,126.09
2024-06-26,126.4
2024-06-27,123.99
2024-06-28,123.54
2024-07-01,124.3
2024-07-02,122.67
2024-07-03,128.28
2024-07-05,125.83
2024-07-08,128.2
2024-07-09,131.38
2024-07-10,134.91
2024-07-11,127.4
2024-07-12,129.24
2024-07-15,128.44
2024-07-16,126.36
2024-07-17,117.99
2024-07-18,121.09
2024-07-19,117.93
2024-07-22,123.54
2024-07-23,122.59
2024-07-24,114.25
2024-07-25,112.28
2024-07-26,113.06
2024-07-29,111.59
2024-07-30,103.73
2024-07-31,117.02
2024-08-01,109.21
2024-08-02,107.27
2024-08-05,100.45
2024-08-06,104.25
2024-08-07,98.91
2024-08-08,104.97
2024-08-09,104.75
2024-08-12,109.02
2024-08-13,116.14
2024-08-14,118.08
2024-08-15,122.86
2024-08-16,124.58
2024-08-19,130.0
2024-08-20,127.25
2024-08-21,128.5
2024-08-22,123.74
2024-08-23,129.37
2024-08-26,126.46
2024-08-27,128.3
2024-08-28,125.61
2024-08-29,117.59
2024-08-30,119.37
2024-09-03,108.0
