Date,SOFI
2023-09-05,8.75
2023-09-06,8.54
2023-09-07,8.57
2023-09-08,8.55
2023-09-11,8.9
2023-09-12,9.0
2023-09-13,8.8
2023-09-14,9.05
2023-09-15,9.07
2023-09-18,8.67
2023-09-19,8.62
2023-09-20,8.32
2023-09-21,7.95
2023-09-22,7.54
2023-09-25,7.51
2023-09-26,7.4
2023-09-27,7.6
2023-09-28,7.77
2023-09-29,7.99
2023-10-02,7.84
2023-10-03,7.28
2023-10-04,7.47
2023-10-05,7.65
2023-10-06,7.99
2023-10-09,8.18
2023-10-10,8.36
2023-10-11,8.59
2023-10-12,8.39
2023-10-13,8.12
2023-10-16,8.25
2023-10-17,8.25
2023-10-18,7.77
2023-10-19,7.63
2023-10-20,7.37
2023-10-23,7.26
2023-10-24,7.38
2023-10-25,7.08
2023-10-26,6.9
2023-10-27,6.87
2023-10-30,6.94
2023-10-31,7.55
2023-11-01,7.58
2023-11-02,8.17
2023-11-03,8.01
2023-11-06,7.49
2023-11-07,7.42
2023-11-08,7.31
2023-11-09,6.85
2023-11-10,6.94
2023-11-13,7.04
2023-11-14,7.48
2023-11-15,7.37
2023-11-16,6.71
2023-11-17,6.83
2023-11-20,6.61
2023-11-21,6.72
2023-11-22,6.9
2023-11-24,6.86
2023-11-27,7.03
2023-11-28,7.34
2023-11-29,7.35
2023-11-30,7.29
2023-12-01,7.83
2023-12-04,7.96
2023-12-05,7.99
2023-12-06,7.89
2023-12-07,7.96
2023-12-08,8.13
2023-12-11,8.07
2023-12-12,7.95
2023-12-13,8.94
2023-12-14,9.47
2023-12-15,9.35
2023-12-18,9.66
2023-12-19,9.94
2023-12-20,9.31
2023-12-21,9.64
2023-12-22,9.71
2023-12-26,9.96
2023-12-27,10.32
2023-12-28,10.28
2023-12-29,9.95
2024-01-02,9.65
2024-01-03,8.31
2024-01-04,8.42
2024-01-05,8.22
2024-01-08,8.53
2024-01-09,8.32
2024-01-10,8.48
2024-01-11,8.17
2024-01-12,7.89
2024-01-16,7.72
2024-01-17,7.53
2024-01-18,7.41
2024-01-19,7.49
2024-01-22,7.92
2024-01-23,7.75
2024-01-24,7.56
2024-01-25,7.65
2024-01-26,7.62
2024-01-29,9.16
2024-01-30,8.4
2024-01-31,7.83
2024-02-01,7.73
2024-02-02,7.88
2024-02-05,7.58
2024-02-06,7.8
2024-02-07,7.66
2024-02-08,8.08
2024-02-09,8.13
2024-02-12,8.33
2024-02-13,8.02
2024-02-14,8.42
2024-02-15,8.53
2024-02-16,8.36
2024-02-20,8.51
2024-02-21,8.11
2024-02-22,8.16
2024-02-23,8.17
2024-02-26,8.54
2024-02-27,9.15
2024-02-28,8.86
2024-02-29,8.98
2024-03-01,8.99
2024-03-04,8.58
2024-03-05,7.27
2024-03-06,7.4
2024-03-07,7.47
2024-03-08,7.71
2024-03-11,7.68
2024-03-12,7.48
2024-03-13,7.38
2024-03-14,7.05
2024-03-15,7.03
2024-03-18,7.08
2024-03-19,6.92
2024-03-20,7.36
2024-03-21,7.44
2024-03-22,7.3
2024-03-25,7.45
2024-03-26,7.2
2024-03-27,7.36
2024-03-28,7.3
2024-04-01,7.22
2024-04-02,7.2
2024-04-03,7.54
2024-04-04,7.31
2024-04-05,7.4
2024-04-08,7.76
2024-04-09,7.89
2024-04-10,7.56
2024-04-11,7.64
2024-04-12,7.33
2024-04-15,7.12
2024-04-16,7.2
2024-04-17,7.16
2024-04-18,7.13
2024-04-19,7.11
2024-04-22,7.25
2024-04-23,7.58
2024-04-24,7.6
2024-04-25,7.59
2024-04-26,7.87
2024-04-29,7.05
2024-04-30,6.78
2024-05-01,6.92
2024-05-02,6.99
2024-05-03,6.96
2024-05-06,7.16
2024-05-07,7.06
2024-05-08,7.05
2024-05-09,7.06
2024-05-10,6.94
2024-05-13,7.11
2024-05-14,7.47
2024-05-15,7.27
2024-05-16,7.12
2024-05-17,7.28
2024-05-20,7.19
2024-05-21,7.08
2024-05-22,7.02
2024-05-23,6.83
2024-05-24,6.92
2024-05-28,6.89
2024-05-29,6.85
2024-05-30,6.91
2024-05-31,6.9
2024-06-03,6.77
2024-06-04,6.72
2024-06-05,6.91
2024-06-06,7.08
2024-06-07,6.99
2024-06-10,7.03
2024-06-11,7.0
2024-06-12,7.07
2024-06-13,6.8
2024-06-14,6.46
2024-06-17,6.46
2024-06-18,6.42
2024-06-20,6.32
2024-06-21,6.32
2024-06-24,6.54
2024-06-25,6.45
2024-06-26,6.46
2024-06-27,6.54
2024-06-28,6.61
2024-07-01,6.43
2024-07-02,6.45
2024-07-03,6.52
2024-07-05,6.47
2024-07-08,6.35
2024-07-09,6.38
2024-07-10,6.57
2024-07-11,6.77
2024-07-12,6.97
2024-07-15,7.33
2024-07-16,7.75
2024-07-17,7.84
2024-07-18,7.53
2024-07-19,7.47
2024-07-22,7.54
2024-07-23,7.43
2024-07-24,7.1
2024-07-25,7.27
2024-07-26,7.41
2024-07-29,7.33
2024-07-30,7.42
2024-07-31,7.54
2024-08-01,7.16
2024-08-02,6.65
2024-08-05,6.54
2024-08-06,6.43
2024-08-07,6.32
2024-08-08,6.64
2024-08-09,6.64
2024-08-12,6.48
2024-08-13,6.64
2024-08-14,6.61
2024-08-15,6.91
2024-08-16,7.0
2024-08-19,7.46
2024-08-20,7.37
2024-08-21,7.3
2024-08-22,7.19
2024-08-23,7.52
2024-08-26,7.67
2024-08-27,7.77
2024-08-28,7.49
2024-08-29,8.03
2024-08-30,7.99
2024-09-03,7.53
