Date,T
2023-09-05,13.55
2023-09-06,13.67
2023-09-07,13.67
2023-09-08,13.48
2023-09-11,13.59
2023-09-12,13.53
2023-09-13,13.68
2023-09-14,14.09
2023-09-15,14.25
2023-09-18,14.12
2023-09-19,14.23
2023-09-20,14.55
2023-09-21,14.33
2023-09-22,14.15
2023-09-25,14.09
2023-09-26,14.06
2023-09-27,13.92
2023-09-28,14.05
2023-09-29,14.06
2023-10-02,13.73
2023-10-03,13.83
2023-10-04,13.71
2023-10-05,13.88
2023-10-06,13.78
2023-10-09,14.05
2023-10-10,14.27
2023-10-11,14.09
2023-10-12,13.78
2023-10-13,13.7
2023-10-16,13.74
2023-10-17,13.91
2023-10-18,13.66
2023-10-19,14.55
2023-10-20,14.67
2023-10-23,14.26
2023-10-24,14.81
2023-10-25,14.49
2023-10-26,14.42
2023-10-27,14.13
2023-10-30,14.55
2023-10-31,14.69
2023-11-01,14.86
2023-11-02,15.0
2023-11-03,15.15
2023-11-06,15.02
2023-11-07,15.11
2023-11-08,14.93
2023-11-09,14.91
2023-11-10,14.92
2023-11-13,14.86
2023-11-14,14.91
2023-11-15,15.03
2023-11-16,15.15
2023-11-17,15.17
2023-11-20,15.36
2023-11-21,15.44
2023-11-22,15.42
2023-11-24,15.46
2023-11-27,15.46
2023-11-28,15.43
2023-11-29,15.55
2023-11-30,15.8
2023-12-01,15.99
2023-12-04,15.89
2023-12-05,16.42
2023-12-06,16.16
2023-12-07,16.3
2023-12-08,16.14
2023-12-11,15.85
2023-12-12,15.65
2023-12-13,15.69
2023-12-14,15.88
2023-12-15,15.76
2023-12-18,15.7
2023-12-19,15.84
2023-12-20,15.64
2023-12-21,15.73
2023-12-22,15.79
2023-12-26,15.8
2023-12-27,15.81
2023-12-28,15.97
2023-12-29,16.0
2024-01-02,16.45
2024-01-03,16.43
2024-01-04,16.36
2024-01-05,16.66
2024-01-08,16.52
2024-01-09,16.43
2024-01-10,16.35
2024-01-11,15.73
2024-01-12,15.97
2024-01-16,15.94
2024-01-17,15.91
2024-01-18,15.9
2024-01-19,16.16
2024-01-22,16.28
2024-01-23,16.66
2024-01-24,16.17
2024-01-25,16.65
2024-01-26,16.76
2024-01-29,16.72
2024-01-30,16.99
2024-01-31,17.15
2024-02-01,17.49
2024-02-02,17.28
2024-02-05,17.19
2024-02-06,17.07
2024-02-07,16.8
2024-02-08,16.3
2024-02-09,16.32
2024-02-12,16.5
2024-02-13,16.38
2024-02-14,16.39
2024-02-15,16.57
2024-02-16,16.45
2024-02-20,16.39
2024-02-21,16.48
2024-02-22,16.08
2024-02-23,16.28
2024-02-26,16.09
2024-02-27,16.31
2024-02-28,16.44
2024-02-29,16.41
2024-03-01,16.46
2024-03-04,16.28
2024-03-05,16.64
2024-03-06,16.65
2024-03-07,16.53
2024-03-08,16.67
2024-03-11,16.8
2024-03-12,16.67
2024-03-13,16.66
2024-03-14,16.49
2024-03-15,16.53
2024-03-18,16.77
2024-03-19,16.64
2024-03-20,16.68
2024-03-21,16.63
2024-03-22,16.46
2024-03-25,16.6
2024-03-26,16.65
2024-03-27,17.01
2024-03-28,17.06
2024-04-01,16.96
2024-04-02,16.98
2024-04-03,17.07
2024-04-04,17.03
2024-04-05,16.89
2024-04-08,16.72
2024-04-09,16.65
2024-04-10,16.48
2024-04-11,16.18
2024-04-12,16.07
2024-04-15,16.0
2024-04-16,15.85
2024-04-17,15.88
2024-04-18,16.09
2024-04-19,16.27
2024-04-22,16.07
2024-04-23,16.26
2024-04-24,16.56
2024-04-25,16.33
2024-04-26,16.5
2024-04-29,16.77
2024-04-30,16.64
2024-05-01,16.67
2024-05-02,16.57
2024-05-03,16.6
2024-05-06,16.74
2024-05-07,16.83
2024-05-08,16.86
2024-05-09,16.93
2024-05-10,16.92
2024-05-13,17.0
2024-05-14,17.04
2024-05-15,17.07
2024-05-16,17.04
2024-05-17,17.14
2024-05-20,17.26
2024-05-21,17.01
2024-05-22,17.24
2024-05-23,17.21
2024-05-24,17.24
2024-05-28,17.01
2024-05-29,16.87
2024-05-30,17.36
2024-05-31,17.95
2024-06-03,17.74
2024-06-04,18.08
2024-06-05,18.03
2024-06-06,18.01
2024-06-07,17.83
2024-06-10,17.6
2024-06-11,17.6
2024-06-12,17.35
2024-06-13,17.41
2024-06-14,17.38
2024-06-17,17.41
2024-06-18,17.78
2024-06-20,17.84
2024-06-21,18.13
2024-06-24,18.37
2024-06-25,18.41
2024-06-26,18.48
2024-06-27,18.47
2024-06-28,18.83
2024-07-01,18.7
2024-07-02,18.54
2024-07-03,18.4
2024-07-05,18.49
2024-07-08,18.53
2024-07-09,18.52
2024-07-10,18.74
2024-07-11,18.86
2024-07-12,18.81
2024-07-15,18.58
2024-07-16,18.85
2024-07-17,19.16
2024-07-18,19.15
2024-07-19,19.12
2024-07-22,18.55
2024-07-23,18.21
2024-07-24,19.16
2024-07-25,19.19
2024-07-26,19.01
2024-07-29,18.9
2024-07-30,18.98
2024-07-31,19.25
2024-08-01,19.47
2024-08-02,19.37
2024-08-05,18.91
2024-08-06,19.19
2024-08-07,19.25
2024-08-08,19.4
2024-08-09,19.49
2024-08-12,19.43
2024-08-13,19.52
2024-08-14,19.63
2024-08-15,19.09
2024-08-16,19.34
2024-08-19,19.49
2024-08-20,19.49
2024-08-21,19.54
2024-08-22,19.51
2024-08-23,19.73
2024-08-26,19.76
2024-08-27,19.65
2024-08-28,19.82
2024-08-29,19.76
2024-08-30,19.9
2024-09-03,20.43
