Date,UAA
2023-09-05,7.67
2023-09-06,7.46
2023-09-07,7.26
2023-09-08,7.28
2023-09-11,7.16
2023-09-12,7.24
2023-09-13,7.26
2023-09-14,7.42
2023-09-15,7.33
2023-09-18,7.11
2023-09-19,7.14
2023-09-20,7.05
2023-09-21,6.93
2023-09-22,6.85
2023-09-25,6.54
2023-09-26,6.45
2023-09-27,6.4
2023-09-28,6.55
2023-09-29,6.85
2023-10-02,6.7
2023-10-03,6.54
2023-10-04,6.61
2023-10-05,6.61
2023-10-06,6.68
2023-10-09,6.73
2023-10-10,6.63
2023-10-11,6.74
2023-10-12,6.62
2023-10-13,6.61
2023-10-16,7.0
2023-10-17,7.38
2023-10-18,7.31
2023-10-19,7.38
2023-10-20,7.28
2023-10-23,7.19
2023-10-24,7.23
2023-10-25,7.28
2023-10-26,7.28
2023-10-27,6.57
2023-10-30,6.76
2023-10-31,6.85
2023-11-01,6.77
2023-11-02,7.01
2023-11-03,7.26
2023-11-06,7.1
2023-11-07,7.21
2023-11-08,7.42
2023-11-09,7.18
2023-11-10,7.38
2023-11-13,6.98
2023-11-14,7.58
2023-11-15,7.88
2023-11-16,7.61
2023-11-17,7.68
2023-11-20,7.69
2023-11-21,7.58
2023-11-22,7.66
2023-11-24,7.68
2023-11-27,7.95
2023-11-28,8.04
2023-11-29,8.19
2023-11-30,8.14
2023-12-01,8.6
2023-12-04,8.55
2023-12-05,8.25
2023-12-06,8.38
2023-12-07,8.45
2023-12-08,8.46
2023-12-11,8.51
2023-12-12,8.23
2023-12-13,8.62
2023-12-14,8.58
2023-12-15,8.6
2023-12-18,9.06
2023-12-19,9.4
2023-12-20,9.21
2023-12-21,9.28
2023-12-22,8.97
2023-12-26,8.82
2023-12-27,8.84
2023-12-28,8.95
2023-12-29,8.79
2024-01-02,8.68
2024-01-03,8.18
2024-01-04,7.94
2024-01-05,7.9
2024-01-08,8.2
2024-01-09,8.34
2024-01-10,8.37
2024-01-11,8.18
2024-01-12,7.92
2024-01-16,7.41
2024-01-17,7.42
2024-01-18,7.5
2024-01-19,7.51
2024-01-22,7.71
2024-01-23,7.78
2024-01-24,7.51
2024-01-25,7.59
2024-01-26,7.68
2024-01-29,7.78
2024-01-30,7.91
2024-01-31,7.62
2024-02-01,7.82
2024-02-02,7.75
2024-02-05,7.69
2024-02-06,7.89
2024-02-07,7.7
2024-02-08,7.71
2024-02-09,8.09
2024-02-12,8.34
2024-02-13,7.98
2024-02-14,8.32
2024-02-15,8.26
2024-02-16,8.07
2024-02-20,8.14
2024-02-21,8.27
2024-02-22,8.4
2024-02-23,8.43
2024-02-26,8.53
2024-02-27,8.89
2024-02-28,9.0
2024-02-29,8.96
2024-03-01,8.89
2024-03-04,8.83
2024-03-05,8.66
2024-03-06,8.61
2024-03-07,8.53
2024-03-08,8.44
2024-03-11,8.3
2024-03-12,8.09
2024-03-13,8.1
2024-03-14,7.23
2024-03-15,7.15
2024-03-18,7.23
2024-03-19,7.23
2024-03-20,7.29
2024-03-21,7.37
2024-03-22,7.15
2024-03-25,7.12
2024-03-26,7.1
2024-03-27,7.26
2024-03-28,7.38
2024-04-01,7.31
2024-04-02,7.08
2024-04-03,6.98
2024-04-04,6.9
2024-04-05,6.82
2024-04-08,6.8
2024-04-09,6.83
2024-04-10,6.7
2024-04-11,6.64
2024-04-12,6.56
2024-04-15,6.56
2024-04-16,6.6
2024-04-17,6.55
2024-04-18,6.61
2024-04-19,6.73
2024-04-22,6.78
2024-04-23,6.85
2024-04-24,6.85
2024-04-25,6.69
2024-04-26,6.8
2024-04-29,6.83
2024-04-30,6.73
2024-05-01,6.64
2024-05-02,6.72
2024-05-03,6.74
2024-05-06,6.68
2024-05-07,6.71
2024-05-08,6.64
2024-05-09,6.79
2024-05-10,6.71
2024-05-13,6.78
2024-05-14,6.83
2024-05-15,6.8
2024-05-16,6.71
2024-05-17,6.78
2024-05-20,6.7
2024-05-21,6.85
2024-05-22,6.95
2024-05-23,6.72
2024-05-24,6.65
2024-05-28,6.84
2024-05-29,6.94
2024-05-30,6.95
2024-05-31,7.19
2024-06-03,6.95
2024-06-04,7.02
2024-06-05,6.88
2024-06-06,6.94
2024-06-07,6.91
2024-06-10,6.81
2024-06-11,6.82
2024-06-12,6.78
2024-06-13,6.76
2024-06-14,6.68
2024-06-17,6.94
2024-06-18,6.95
2024-06-20,6.99
2024-06-21,6.99
2024-06-24,7.13
2024-06-25,6.94
2024-06-26,7.04
2024-06-27,6.85
2024-06-28,6.67
2024-07-01,6.51
2024-07-02,6.44
2024-07-03,6.4
2024-07-05,6.4
2024-07-08,6.8
2024-07-09,6.8
2024-07-10,6.9
2024-07-11,6.99
2024-07-12,6.87
2024-07-15,6.51
2024-07-16,6.67
2024-07-17,6.89
2024-07-18,6.65
2024-07-19,6.7
2024-07-22,6.69
2024-07-23,6.56
2024-07-24,6.52
2024-07-25,6.77
2024-07-26,6.89
2024-07-29,6.92
2024-07-30,6.98
2024-07-31,6.97
2024-08-01,6.8
2024-08-02,6.5
2024-08-05,6.37
2024-08-06,6.47
2024-08-07,6.47
2024-08-08,7.71
2024-08-09,7.9
2024-08-12,7.83
2024-08-13,8.09
2024-08-14,7.95
2024-08-15,8.13
2024-08-16,8.0
2024-08-19,8.31
2024-08-20,8.39
2024-08-21,8.4
2024-08-22,8.3
2024-08-23,8.58
2024-08-26,8.42
2024-08-27,8.37
2024-08-28,7.78
2024-08-29,7.74
2024-08-30,7.69
2024-09-03,8.2
