Date,VICI
2023-09-05,29.15
2023-09-06,29.32
2023-09-07,29.52
2023-09-08,29.5
2023-09-11,29.62
2023-09-12,29.7
2023-09-13,29.58
2023-09-14,29.8
2023-09-15,29.67
2023-09-18,29.17
2023-09-19,29.31
2023-09-20,29.39
2023-09-21,28.85
2023-09-22,28.5
2023-09-25,28.52
2023-09-26,27.98
2023-09-27,27.68
2023-09-28,28.25
2023-09-29,27.89
2023-10-02,27.46
2023-10-03,26.88
2023-10-04,27.17
2023-10-05,27.14
2023-10-06,27.42
2023-10-09,27.98
2023-10-10,28.02
2023-10-11,28.14
2023-10-12,27.68
2023-10-13,27.74
2023-10-16,28.1
2023-10-17,28.06
2023-10-18,27.55
2023-10-19,26.91
2023-10-20,26.37
2023-10-23,26.15
2023-10-24,26.79
2023-10-25,26.42
2023-10-26,26.41
2023-10-27,26.21
2023-10-30,26.05
2023-10-31,26.74
2023-11-01,26.71
2023-11-02,27.4
2023-11-03,27.96
2023-11-06,27.8
2023-11-07,27.56
2023-11-08,27.41
2023-11-09,26.94
2023-11-10,27.28
2023-11-13,26.92
2023-11-14,27.94
2023-11-15,27.7
2023-11-16,27.51
2023-11-17,27.39
2023-11-20,27.41
2023-11-21,27.03
2023-11-22,27.42
2023-11-24,27.47
2023-11-27,27.57
2023-11-28,28.01
2023-11-29,28.39
2023-11-30,28.65
2023-12-01,29.23
2023-12-04,29.28
2023-12-05,29.0
2023-12-06,28.98
2023-12-07,29.17
2023-12-08,29.24
2023-12-11,29.51
2023-12-12,29.45
2023-12-13,30.22
2023-12-14,30.6
2023-12-15,30.04
2023-12-18,29.93
2023-12-19,30.48
2023-12-20,30.22
2023-12-21,30.51
2023-12-22,30.44
2023-12-26,30.75
2023-12-27,30.9
2023-12-28,31.25
2023-12-29,30.96
2024-01-02,31.72
2024-01-03,31.5
2024-01-04,31.0
2024-01-05,30.77
2024-01-08,31.16
2024-01-09,30.74
2024-01-10,30.6
2024-01-11,30.26
2024-01-12,30.2
2024-01-16,30.2
2024-01-17,29.7
2024-01-18,29.39
2024-01-19,29.68
2024-01-22,29.84
2024-01-23,29.95
2024-01-24,29.47
2024-01-25,29.64
2024-01-26,29.52
2024-01-29,29.55
2024-01-30,29.37
2024-01-31,29.25
2024-02-01,30.15
2024-02-02,29.67
2024-02-05,28.78
2024-02-06,28.97
2024-02-07,28.84
2024-02-08,28.81
2024-02-09,28.86
2024-02-12,28.85
2024-02-13,28.39
2024-02-14,28.36
2024-02-15,28.64
2024-02-16,28.68
2024-02-20,28.71
2024-02-21,28.8
2024-02-22,28.84
2024-02-23,29.18
2024-02-26,28.7
2024-02-27,28.54
2024-02-28,28.71
2024-02-29,29.07
2024-03-01,28.73
2024-03-04,28.86
2024-03-05,28.09
2024-03-06,28.11
2024-03-07,28.18
2024-03-08,28.28
2024-03-11,28.8
2024-03-12,28.7
2024-03-13,28.46
2024-03-14,27.99
2024-03-15,28.1
2024-03-18,28.11
2024-03-19,28.13
2024-03-20,28.4
2024-03-21,28.76
2024-03-22,28.4
2024-03-25,28.4
2024-03-26,28.72
2024-03-27,29.31
2024-03-28,29.35
2024-04-01,29.16
2024-04-02,29.04
2024-04-03,28.93
2024-04-04,28.83
2024-04-05,28.89
2024-04-08,29.19
2024-04-09,29.36
2024-04-10,27.7
2024-04-11,27.78
2024-04-12,27.53
2024-04-15,27.17
2024-04-16,26.75
2024-04-17,26.8
2024-04-18,27.12
2024-04-19,27.48
2024-04-22,27.63
2024-04-23,28.16
2024-04-24,28.01
2024-04-25,28.13
2024-04-26,28.05
2024-04-29,28.62
2024-04-30,28.13
2024-05-01,28.47
2024-05-02,28.38
2024-05-03,28.38
2024-05-06,28.62
2024-05-07,29.12
2024-05-08,28.83
2024-05-09,28.87
2024-05-10,29.07
2024-05-13,29.17
2024-05-14,29.46
2024-05-15,30.06
2024-05-16,29.83
2024-05-17,29.93
2024-05-20,29.78
2024-05-21,29.68
2024-05-22,29.1
2024-05-23,28.18
2024-05-24,27.88
2024-05-28,27.84
2024-05-29,27.51
2024-05-30,27.65
2024-05-31,28.29
2024-06-03,28.35
2024-06-04,28.29
2024-06-05,27.96
2024-06-06,28.02
2024-06-07,27.95
2024-06-10,27.7
2024-06-11,27.73
2024-06-12,27.95
2024-06-13,27.87
2024-06-14,27.87
2024-06-17,27.78
2024-06-18,28.11
2024-06-20,28.08
2024-06-21,28.1
2024-06-24,28.43
2024-06-25,27.95
2024-06-26,27.99
2024-06-27,28.43
2024-06-28,28.64
2024-07-01,27.9
2024-07-02,27.77
2024-07-03,27.75
2024-07-05,27.75
2024-07-08,27.83
2024-07-09,27.64
2024-07-10,27.89
2024-07-11,29.4
2024-07-12,29.45
2024-07-15,30.29
2024-07-16,30.27
2024-07-17,30.87
2024-07-18,30.62
2024-07-19,30.31
2024-07-22,30.43
2024-07-23,30.45
2024-07-24,30.21
2024-07-25,30.48
2024-07-26,30.88
2024-07-29,31.22
2024-07-30,31.42
2024-07-31,31.26
2024-08-01,31.34
2024-08-02,31.5
2024-08-05,30.76
2024-08-06,31.4
2024-08-07,31.48
2024-08-08,31.25
2024-08-09,31.33
2024-08-12,31.32
2024-08-13,31.43
2024-08-14,31.61
2024-08-15,31.76
2024-08-16,31.59
2024-08-19,32.09
2024-08-20,31.99
2024-08-21,32.27
2024-08-22,32.33
2024-08-23,32.9
2024-08-26,33.12
2024-08-27,33.15
2024-08-28,33.11
2024-08-29,33.06
2024-08-30,33.48
2024-09-03,33.48
