Date,VZ
2023-09-05,31.98
2023-09-06,31.86
2023-09-07,31.52
2023-09-08,31.18
2023-09-11,31.64
2023-09-12,31.73
2023-09-13,31.57
2023-09-14,31.73
2023-09-15,31.5
2023-09-18,31.26
2023-09-19,31.14
2023-09-20,31.32
2023-09-21,31.04
2023-09-22,31.03
2023-09-25,30.91
2023-09-26,30.76
2023-09-27,30.21
2023-09-28,30.35
2023-09-29,30.21
2023-10-02,29.61
2023-10-03,29.81
2023-10-04,29.4
2023-10-05,29.66
2023-10-06,29.37
2023-10-09,29.95
2023-10-10,30.24
2023-10-11,29.96
2023-10-12,29.43
2023-10-13,29.2
2023-10-16,29.76
2023-10-17,30.0
2023-10-18,29.56
2023-10-19,30.07
2023-10-20,30.06
2023-10-23,29.89
2023-10-24,32.66
2023-10-25,32.08
2023-10-26,32.82
2023-10-27,31.84
2023-10-30,32.96
2023-10-31,33.45
2023-11-01,33.71
2023-11-02,34.18
2023-11-03,34.3
2023-11-06,33.94
2023-11-07,34.22
2023-11-08,34.06
2023-11-09,33.92
2023-11-10,34.0
2023-11-13,34.11
2023-11-14,34.16
2023-11-15,34.28
2023-11-16,34.45
2023-11-17,34.5
2023-11-20,34.97
2023-11-21,35.47
2023-11-22,35.56
2023-11-24,35.62
2023-11-27,35.56
2023-11-28,35.68
2023-11-29,35.95
2023-11-30,36.5
2023-12-01,36.73
2023-12-04,36.22
2023-12-05,36.58
2023-12-06,36.66
2023-12-07,36.8
2023-12-08,36.42
2023-12-11,35.87
2023-12-12,35.52
2023-12-13,35.22
2023-12-14,36.06
2023-12-15,35.58
2023-12-18,35.87
2023-12-19,35.77
2023-12-20,35.52
2023-12-21,35.64
2023-12-22,35.7
2023-12-26,35.69
2023-12-27,35.53
2023-12-28,35.7
2023-12-29,35.9
2024-01-02,37.02
2024-01-03,37.29
2024-01-04,37.49
2024-01-05,38.28
2024-01-08,38.18
2024-01-09,37.8
2024-01-10,37.84
2024-01-11,36.7
2024-01-12,37.33
2024-01-16,38.04
2024-01-17,37.63
2024-01-18,37.7
2024-01-19,38.08
2024-01-22,38.32
2024-01-23,40.89
2024-01-24,39.97
2024-01-25,40.95
2024-01-26,41.05
2024-01-29,40.71
2024-01-30,41.12
2024-01-31,41.0
2024-02-01,41.14
2024-02-02,40.79
2024-02-05,40.06
2024-02-06,39.79
2024-02-07,39.14
2024-02-08,38.64
2024-02-09,38.46
2024-02-12,38.83
2024-02-13,38.85
2024-02-14,38.87
2024-02-15,39.3
2024-02-16,39.2
2024-02-20,39.21
2024-02-21,39.79
2024-02-22,39.44
2024-02-23,39.37
2024-02-26,38.43
2024-02-27,38.66
2024-02-28,38.83
2024-02-29,38.75
2024-03-01,38.92
2024-03-04,39.03
2024-03-05,39.07
2024-03-06,38.66
2024-03-07,38.27
2024-03-08,38.25
2024-03-11,38.85
2024-03-12,38.85
2024-03-13,38.98
2024-03-14,38.51
2024-03-15,38.23
2024-03-18,38.66
2024-03-19,38.7
2024-03-20,38.84
2024-03-21,39.25
2024-03-22,39.09
2024-03-25,39.57
2024-03-26,39.55
2024-03-27,40.22
2024-03-28,40.63
2024-04-01,40.94
2024-04-02,41.19
2024-04-03,41.48
2024-04-04,41.1
2024-04-05,40.78
2024-04-08,40.4
2024-04-09,40.18
2024-04-10,39.87
2024-04-11,39.51
2024-04-12,39.08
2024-04-15,39.46
2024-04-16,39.13
2024-04-17,39.14
2024-04-18,39.48
2024-04-19,39.84
2024-04-22,37.98
2024-04-23,39.06
2024-04-24,38.85
2024-04-25,38.59
2024-04-26,39.04
2024-04-29,39.44
2024-04-30,38.85
2024-05-01,38.57
2024-05-02,38.3
2024-05-03,38.26
2024-05-06,38.7
2024-05-07,38.68
2024-05-08,38.84
2024-05-09,39.15
2024-05-10,39.75
2024-05-13,39.89
2024-05-14,39.84
2024-05-15,39.84
2024-05-16,39.6
2024-05-17,39.41
2024-05-20,39.47
2024-05-21,38.98
2024-05-22,39.15
2024-05-23,38.8
2024-05-24,39.1
2024-05-28,38.73
2024-05-29,38.47
2024-05-30,39.68
2024-05-31,40.49
2024-06-03,40.32
2024-06-04,40.89
2024-06-05,40.68
2024-06-06,40.66
2024-06-07,40.28
2024-06-10,39.76
2024-06-11,39.77
2024-06-12,39.13
2024-06-13,39.14
2024-06-14,39.03
2024-06-17,38.82
2024-06-18,39.43
2024-06-20,39.59
2024-06-21,39.59
2024-06-24,40.51
2024-06-25,40.42
2024-06-26,40.36
2024-06-27,40.16
2024-06-28,40.58
2024-07-01,41.07
2024-07-02,40.44
2024-07-03,40.46
2024-07-05,40.61
2024-07-08,40.86
2024-07-09,40.63
2024-07-10,41.08
2024-07-11,41.3
2024-07-12,41.43
2024-07-15,40.79
2024-07-16,41.45
2024-07-17,42.03
2024-07-18,42.07
2024-07-19,41.62
2024-07-22,39.09
2024-07-23,38.89
2024-07-24,39.67
2024-07-25,39.95
2024-07-26,40.09
2024-07-29,40.03
2024-07-30,40.04
2024-07-31,40.52
2024-08-01,40.85
2024-08-02,40.97
2024-08-05,39.8
2024-08-06,40.26
2024-08-07,40.28
2024-08-08,40.52
2024-08-09,40.75
2024-08-12,40.53
2024-08-13,40.78
2024-08-14,40.9
2024-08-15,40.04
2024-08-16,40.61
2024-08-19,40.74
2024-08-20,40.85
2024-08-21,41.05
2024-08-22,40.87
2024-08-23,41.21
2024-08-26,41.49
2024-08-27,41.45
2024-08-28,41.49
2024-08-29,41.25
2024-08-30,41.78
2024-09-03,42.93
